iter	Passed	Remaining
202	486	1911
203	488	1906
204	490	1902
205	497	1918
206	499	1914
207	501	1908
208	502	1902
209	535	2016
210	537	2010
211	539	2004
212	542	2005
213	545	2002
214	547	1998
215	548	1992
216	550	1986
217	551	1979
218	553	1972
219	554	1967
220	557	1964
221	559	1961
222	562	1960
223	564	1954
224	565	1947
225	567	1941
226	568	1936
227	572	1937
228	573	1932
229	575	1926
230	576	1920
231	579	1917
232	580	1911
233	581	1904
234	583	1898
235	584	1892
236	587	1892
237	589	1888
238	591	1882
239	592	1877
240	594	1871
241	595	1866
242	596	1859
243	598	1853
244	599	1847
245	602	1846
246	604	1843
247	605	1837
248	607	1831
249	610	1830
250	612	1826
251	622	1846
252	624	1843
253	625	1837
254	627	1832
255	628	1827
256	630	1822
257	633	1822
258	636	1820
259	637	1814
260	639	1810
261	640	1804
262	642	1799
263	643	1793
264	644	1788
265	648	1789
266	650	1786
267	652	1781
268	653	1776
269	655	1772
270	656	1767
271	658	1761
272	660	1757
273	662	1755
274	665	1753
275	666	1748
276	668	1744
277	669	1739
278	670	1733
279	672	1728
280	674	1724
281	676	1721
282	678	1717
283	679	1713
284	681	1708
285	682	1703
286	683	1698
287	684	1692
288	686	1688
289	687	1683
290	690	1681
291	692	1679
292	693	1674
293	695	1669
294	696	1664
295	697	1659
296	698	1654
297	700	1650
298	701	1645
299	704	1643
300	706	1640
301	707	1636
302	709	1631
303	710	1626
304	711	1621
305	712	1616
306	714	1611
307	715	1606
308	716	1601
309	719	1601
310	721	1598
311	723	1594
312	724	1589
313	725	1585
314	726	1580
315	728	1576
316	729	1571
317	730	1566
318	731	1561
319	734	1560
320	736	1558
321	738	1554
322	739	1550
323	740	1545
324	742	1541
325	743	1537
326	744	1532
327	745	1527
328	748	1526
329	750	1523
330	752	1520
331	753	1516
332	755	1512
333	756	1507
334	757	1503
335	758	1498
336	759	1494
337	761	1490
338	764	1489
339	766	1487
340	767	1483
341	769	1479
342	770	1475
343	771	1471
344	772	1466
345	773	1462
346	775	1459
347	778	1457
348	780	1455
349	781	1451
350	783	1448
351	784	1443
352	785	1440
353	786	1436
354	788	1431
355	789	1427
356	792	1426
357	793	1423
358	796	1421
359	797	1418
360	799	1414
361	800	1410
362	801	1406
363	802	1402
364	803	1398
365	807	1397
366	808	1394
367	810	1392
368	812	1389
369	813	1385
370	814	1381
371	815	1377
372	817	1373
373	818	1369
374	820	1366
375	822	1365
376	824	1362
377	825	1358
378	827	1355
379	828	1351
380	829	1347
381	830	1343
382	831	1340
383	833	1336
384	834	1333
385	836	1331
386	838	1328
387	840	1325
388	841	1321
389	842	1317
390	843	1314
391	845	1310
392	846	1307
393	847	1303
394	848	1299
395	850	1297
396	851	1293
397	852	1290
398	854	1286
399	856	1285
400	858	1282
401	859	1278
402	860	1274
403	861	1271
404	862	1267
405	864	1265
406	867	1263
407	868	1260
408	870	1257
409	871	1253
410	872	1250
411	873	1247
412	875	1244
413	876	1241
414	879	1239
415	882	1238
416	884	1236
417	885	1233
418	887	1230
419	888	1227
420	889	1223
421	890	1220
422	892	1217
423	894	1214
424	896	1213
425	898	1210
426	899	1207
427	900	1203
428	902	1200
429	903	1197
430	904	1194
431	905	1190
432	906	1187
433	909	1185
434	911	1183
435	912	1180
436	914	1177
437	915	1174
438	916	1171
439	917	1168
440	918	1164
441	919	1161
442	921	1158
443	922	1155
444	924	1153
445	926	1151
446	928	1148
447	929	1145
448	930	1142
449	931	1138
450	932	1135
451	934	1132
452	935	1129
453	936	1126
454	938	1124
